text	lemma	ending	clitic	partofspeech	form	prob	freq
mõjustatud	mõjustatud	0		A		0.0	0
poundi	Pound	0		H	sg g	1.0	1
poundi	Poundi	0		H	sg g	0.0	0
poundi	Pount	0		H	sg g	0.0	0
põrkunud	põrkuma	nud		V	nud	1.0	1
põrkunud	põrkunud	d		A	pl n	0.0	0
põrkunud	põrkunud	0		A		0.0	0
põrkunud	põrkunud	0		A	sg n	0.0	0
selilist	selili	st		S	sg el	1.0	1
selilist	selil	st		S	sg el	0.0	0
broneeritud	broneeritud	0		A		1.0	1
broneeritud	broneeritud	0		A	sg n	0.0	0
broneeritud	broneerima	tud		V	tud	0.0	0
broneeritud	broneeritud	d		A	pl n	0.0	0
tituleeritud	tituleeritud	0		A		1.0	1
tituleeritud	tituleeritud	d		A	pl n	0.0	0
tituleeritud	tituleerima	tud		V	tud	0.0	0
tituleeritud	tituleeritud	0		A	sg n	0.0	0
rajal	rada	l		S	sg ad	1.0	1
rajal	raja	l		S	sg ad	0.0	0
arreteeritud	arreteeritud	0		A		1.0	1
arreteeritud	arreteeritud	d		A	pl n	0.0	0
arreteeritud	arreteeritud	0		A	sg n	0.0	0
arreteeritud	arreteerima	tud		V	tud	0.0	0
legaliseeritud	legaliseeritud	0		A		1.0	1
legaliseeritud	legaliseeritud	d		A	pl n	0.0	0
legaliseeritud	legaliseeritud	0		A	sg n	0.0	0
legaliseeritud	legaliseerima	tud		V	tud	0.0	0
kaetakse	katma	takse		V	takse	1.0	1
kaetakse	kaema	takse		V	takse	0.0	0
taganud	tagama	nud		V	nud	1.0	1
taganud	taganud	d		A	pl n	0.0	0
taganud	taganud	0		A	sg n	0.0	0
taganud	taganud	0		A		0.0	0
poordid	poord	d		S	pl n	1.0	1
poordid	poort	d		S	pl n	0.0	0
tadziki	tadziki	0		S	sg g	1.0	1
tadziki	tadzik	0		S	sg g	0.0	0
tursunud	tursunud	0		A		1.0	1
tursunud	tursunud	d		A	pl n	0.0	0
tursunud	tursuma	nud		V	nud	0.0	0
tursunud	tursunud	0		A	sg n	0.0	0
gulagi	Gulag	0		H	sg g	1.0	1
gulagi	Gulagi	0		H	sg g	0.0	0
teadvustanud	teadvustama	nud		V	nud	1.0	1
teadvustanud	teadvustanud	d		A	pl n	0.0	0
teadvustanud	teadvustanud	0		A	sg n	0.0	0
teadvustanud	teadvustanud	0		A		0.0	0
elswyki	Elswyk	0		H	sg g	1.0	1
elswyki	Elswyki	0		H	sg g	0.0	0
okupeerinud	okupeerima	nud		V	nud	1.0	1
okupeerinud	okupeerinud	0		A	sg n	0.0	0
okupeerinud	okupeerinud	0		A		0.0	0
okupeerinud	okupeerinud	d		A	pl n	0.0	0
teisenenud	teisenema	nud		V	nud	1.0	1
teisenenud	teisenenud	0		A		0.0	0
teisenenud	teisenenud	0		A	sg n	0.0	0
teisenenud	teisenenud	d		A	pl n	0.0	0
sügavkülmutatud	sügavkülmutatud	0		A		1.0	1
sügavkülmutatud	sügavkülmutatud	0		A	sg n	0.0	0
sügavkülmutatud	sügavkülmutatud	d		A	pl n	0.0	0
sügavkülmutatud	sügavkülmutama	tud		V	tud	0.0	0
käivitanud	käivitama	nud		V	nud	1.0	1
käivitanud	käivitanud	d		A	pl n	0.0	0
käivitanud	käivitanud	0		A		0.0	0
käivitanud	käivitanud	0		A	sg n	0.0	0
sikkimit	Sikkim	t		H	sg p	1.0	1
sikkimit	Sikkimi	t		H	sg p	0.0	0
pildiveerus	pildiveerg	s		S	sg in	1.0	1
pildiveerus	pildiveer	s		S	sg in	0.0	0
laekumisse	laekumine	se		S	adt	1.0	1
laekumisse	laekum	sse		S	sg ill	0.0	0
mountbatteni	Mountbatten	0		H	sg g	1.0	1
mountbatteni	Mountbatteni	0		H	sg g	0.0	0
toomemäel	Toomemägi	l		H	sg ad	1.0	1
toomemäel	Toomemäe	l		H	sg ad	0.0	0
buchwaldi	Buchwald	0		H	sg g	1.0	1
buchwaldi	Buchwaldi	0		H	sg g	0.0	0
buchwaldi	Buchwalt	0		H	sg g	0.0	0
austria-ungarile	Austria-Ungari	le		H	sg all	1.0	1
austria-ungarile	Austria-Ungar	le		H	sg all	0.0	0
kärsitud	kärsitu	d		A	pl n	1.0	1
kärsitud	kärsima	tud		V	tud	0.0	0
kärsitud	kärsitud	0		A	sg n	0.0	0
kärsitud	kärsitud	d		A	pl n	0.0	0
kärsitud	kärsitud	0		A		0.0	0
lunini	Lunini	0		H	sg g	1.0	1
lunini	Lunin	0		H	sg g	0.0	0
talitanud	talitama	nud		V	nud	1.0	1
talitanud	talitanud	0		A	sg n	0.0	0
talitanud	talitanud	0		A		0.0	0
talitanud	talitanud	d		A	pl n	0.0	0
ebasoodsa	ebasoodne	0		A	sg g	1.0	1
ebasoodsa	ebasoodus	0		A	sg g	0.0	0
toetutud	toetuma	tud		V	tud	1.0	1
toetutud	toetutud	0		A	sg n	0.0	0
toetutud	toetutud	0		A		0.0	0
toetutud	toetutud	d		A	pl n	0.0	0
selgitanud	selgitama	nud		V	nud	1.0	1
selgitanud	selgitanud	0		A		0.0	0
selgitanud	selgitanud	0		A	sg n	0.0	0
selgitanud	selgitanud	d		A	pl n	0.0	0
venitatud	venitatud	0		A		1.0	1
venitatud	venitatud	d		A	pl n	0.0	0
venitatud	venitama	tud		V	tud	0.0	0
venitatud	venitatud	0		A	sg n	0.0	0
sidunud	siduma	nud		V	nud	1.0	1
sidunud	sidunud	0		A		0.0	0
sidunud	sidunud	0		A	sg n	0.0	0
sidunud	sidunud	d		A	pl n	0.0	0
nõutama	nõutama	ma		V	ma	1.0	1
nõutama	nõudma	tama		V	tama	0.0	0
aktualiseerunud	aktualiseeruma	nud		V	nud	1.0	1
aktualiseerunud	aktualiseerunud	d		A	pl n	0.0	0
aktualiseerunud	aktualiseerunud	0		A	sg n	0.0	0
aktualiseerunud	aktualiseerunud	0		A		0.0	0
tantsitud	tantsitud	0		A		1.0	1
tantsitud	tantsima	tud		V	tud	0.0	0
tantsitud	tantsitud	0		A	sg n	0.0	0
tantsitud	tantsitud	d		A	pl n	0.0	0
koormustestid	koormustest	d		S	pl n	1.0	1
koormustestid	koormustesti	d		S	pl n	0.0	0
tutvustatud	tutvustama	tud		V	tud	1.0	1
tutvustatud	tutvustatud	d		A	pl n	0.0	0
tutvustatud	tutvustatud	0		A	sg n	0.0	0
tutvustatud	tutvustatud	0		A		0.0	0
nepaalis	Nepaal	s		H	sg in	1.0	1
nepaalis	Nepaali	s		H	sg in	0.0	0
teosse	tegu	sse		S	sg ill	1.0	1
teosse	tigu	sse		S	sg ill	0.0	0
alleni	Allen	0		H	sg g	1.0	1
alleni	Alleni	0		H	sg g	0.0	0
nappinud	nappima	nud		V	nud	1.0	1
nappinud	nappinud	0		A		0.0	0
nappinud	nappinud	0		A	sg n	0.0	0
nappinud	nappinud	d		A	pl n	0.0	0
punase	Punane	0		H	sg g	1.0	1
punase	Punas	0		H	sg g	0.0	0
kompenseerinud	kompenseerima	nud		V	nud	1.0	1
kompenseerinud	kompenseerinud	0		A	sg n	0.0	0
kompenseerinud	kompenseerinud	d		A	pl n	0.0	0
kompenseerinud	kompenseerinud	0		A		0.0	0
udusoos	udusoo	s		S	sg in	1.0	1
udusoos	udusugu	s		S	sg in	0.0	0
kustutanud	kustutama	nud		V	nud	1.0	1
kustutanud	kustutanud	d		A	pl n	0.0	0
kustutanud	kustutanud	0		A	sg n	0.0	0
kustutanud	kustutanud	0		A		0.0	0
kolgiga	Kolk	ga		H	sg kom	1.0	1
kolgiga	Kolgi	ga		H	sg kom	0.0	0
kolgiga	Kolg	ga		H	sg kom	0.0	0
azerothis	Azeroth	s		H	sg in	1.0	1
azerothis	Azerothi	s		H	sg in	0.0	0
puudele	puu	dele		S	pl all	1.0	1
puudele	puue	le		S	sg all	0.0	0
soomanilt	Sooman	lt		H	sg abl	1.0	1
soomanilt	Soomani	lt		H	sg abl	0.0	0
kapseldunud	kapselduma	nud		V	nud	1.0	1
kapseldunud	kapseldunud	0		A		0.0	0
kapseldunud	kapseldunud	d		A	pl n	0.0	0
kapseldunud	kapseldunud	0		A	sg n	0.0	0
märjukest	märjuke	t		S	sg p	1.0	1
märjukest	märjukene	t		S	sg p	0.0	0
kirde-eestis	Kirde-Eesti	s		H	sg in	1.0	1
kirde-eestis	Kirde-Eest	s		H	sg in	0.0	0
ennistatud	ennistama	tud		V	tud	1.0	1
ennistatud	ennistatud	0		A	sg n	0.0	0
ennistatud	ennistatud	0		A		0.0	0
ennistatud	ennistatud	d		A	pl n	0.0	0
juudisoost	juudisugu	st		S	sg el	1.0	1
juudisoost	juudisoo	st		S	sg el	0.0	0
mastersi	Masters	0		H	sg g	1.0	1
mastersi	Mastersi	0		H	sg g	0.0	0
freewomaniks	Freewoman	ks		H	sg tr	1.0	1
freewomaniks	Freewomani	ks		H	sg tr	0.0	0
mattunud	mattuma	nud		V	nud	1.0	1
mattunud	mattunud	d		A	pl n	0.0	0
mattunud	mattunud	0		A	sg n	0.0	0
mattunud	mattunud	0		A		0.0	0
puhunud	puhuma	nud		V	nud	1.0	1
puhunud	puhunud	d		A	pl n	0.0	0
puhunud	puhunud	0		A	sg n	0.0	0
puhunud	puhunud	0		A		0.0	0
dudotshkiniga	Dudotshkin	ga		H	sg kom	1.0	1
dudotshkiniga	Dudotshkini	ga		H	sg kom	0.0	0
näkineitsisid	näkineitsi	sid		S	pl p	1.0	1
näkineitsisid	näkineits	sid		S	pl p	0.0	0
vaevunud	vaevuma	nud		V	nud	1.0	1
vaevunud	vaevunud	d		A	pl n	0.0	0
vaevunud	vaevunud	0		A	sg n	0.0	0
vaevunud	vaevunud	0		A		0.0	0
loobi	Loop	0		H	sg g	1.0	1
loobi	Loobi	0		H	sg g	0.0	0
loobi	Loob	0		H	sg g	0.0	0
hoogustunud	hoogustuma	nud		V	nud	1.0	1
hoogustunud	hoogustunud	0		A		0.0	0
hoogustunud	hoogustunud	0		A	sg n	0.0	0
hoogustunud	hoogustunud	d		A	pl n	0.0	0
lahtimurtud	lahtimurtud	0		A		1.0	1
lahtimurtud	lahtimurtud	0		A	sg n	0.0	0
lahtimurtud	lahtimurtud	d		A	pl n	0.0	0
tõu	tõug	0		S	sg g	1.0	1
tõu	tõu	0		S	sg g	0.0	0
kermani	Kerman	0		H	sg g	1.0	1
kermani	Kermani	0		H	sg g	0.0	0
richi	Rich	0		H	sg g	1.0	1
richi	Richi	0		H	sg g	0.0	0
katkikistud	katkikistud	0		A		1.0	1
katkikistud	katkikistud	d		A	pl n	0.0	0
katkikistud	katkikistud	0		A	sg n	0.0	0
karistatud	karistama	tud		V	tud	1.0	1
karistatud	karistatud	d		A	pl n	0.0	0
karistatud	karistatud	0		A	sg n	0.0	0
karistatud	karistatud	0		A		0.0	0
ülessulatatud	ülessulatatud	0		A		1.0	1
ülessulatatud	ülessulatatud	0		A	sg n	0.0	0
ülessulatatud	ülessulatatud	d		A	pl n	0.0	0
teoni	tegu	ni		S	sg ter	1.0	1
teoni	tigu	ni		S	sg ter	0.0	0
viimatinimetatud	viimatinimetatud	0		A		1.0	1
viimatinimetatud	viimatinimetatud	d		A	pl n	0.0	0
viimatinimetatud	viimatinimetatud	0		A	sg n	0.0	0
lynchi	Lynch	0		H	sg g	1.0	1
lynchi	Lynchi	0		H	sg g	0.0	0
senatorsi	Senators	0		H	sg g	1.0	1
senatorsi	Senatorsi	0		H	sg g	0.0	0
põlvini	põlv	ini		S	pl ter	1.0	1
põlvini	põli	ini		S	pl ter	0.0	0
botades	bota	des		S	pl in	1.0	1
botades	botade	s		S	sg in	0.0	0
vana-kariste	Vana-Kariste	0		H	sg g	1.0	1
vana-kariste	Vana-Karine	te		H	pl g	0.0	0
vana-kariste	Vana-Karis	te		H	pl g	0.0	0
määritud	määritud	0		A		1.0	1
määritud	määritud	d		A	pl n	0.0	0
määritud	määrima	tud		V	tud	0.0	0
määritud	määritud	0		A	sg n	0.0	0
sagenenud	sagenenud	0		A		1.0	1
sagenenud	sagenenud	d		A	pl n	0.0	0
sagenenud	sagenema	nud		V	nud	0.0	0
sagenenud	sagenenud	0		A	sg n	0.0	0
timmanit	Timman	t		H	sg p	1.0	1
timmanit	Timmani	t		H	sg p	0.0	0
lahutanud	lahutama	nud		V	nud	1.0	1
lahutanud	lahutanud	d		A	pl n	0.0	0
lahutanud	lahutanud	0		A		0.0	0
lahutanud	lahutanud	0		A	sg n	0.0	0
suitsetanud	suitsetama	nud		V	nud	1.0	1
suitsetanud	suitsetanud	d		A	pl n	0.0	0
suitsetanud	suitsetanud	0		A		0.0	0
suitsetanud	suitsetanud	0		A	sg n	0.0	0
päevalehe	Päevaleht	0		H	sg g	1.0	1
päevalehe	Päevalehe	0		H	sg g	0.0	0
ettekallutatud	ettekallutatud	0		A		1.0	1
ettekallutatud	ettekallutatud	d		A	pl n	0.0	0
ettekallutatud	ettekallutatud	0		A	sg n	0.0	0
käitutud	käituma	tud		V	tud	1.0	1
käitutud	käitutud	d		A	pl n	0.0	0
käitutud	käitutud	0		A		0.0	0
käitutud	käitutud	0		A	sg n	0.0	0
vaikinud	vaikima	nud		V	nud	1.0	1
vaikinud	vaikinud	d		A	pl n	0.0	0
vaikinud	vaikinud	0		A	sg n	0.0	0
vaikinud	vaikinud	0		A		0.0	0
kivinenud	kivinenud	0		A		1.0	1
kivinenud	kivinenud	d		A	pl n	0.0	0
kivinenud	kivinema	nud		V	nud	0.0	0
kivinenud	kivinenud	0		A	sg n	0.0	0
väljaarendatud	väljaarendatud	0		A		1.0	1
väljaarendatud	väljaarendatud	0		A	sg n	0.0	0
väljaarendatud	väljaarendatud	d		A	pl n	0.0	0
nõutuks	nõutu	ks		A	sg tr	1.0	1
nõutuks	nõutud	ks		A	sg tr	0.0	0
mimeetikumid	mimeetikum	d		S	pl n	1.0	1
mimeetikumid	mimeetikumi	d		S	pl n	0.0	0
raiunud	raiuma	nud		V	nud	1.0	1
raiunud	raiunud	d		A	pl n	0.0	0
raiunud	raiunud	0		A	sg n	0.0	0
raiunud	raiunud	0		A		0.0	0
pelkici	Pelkic	0		H	sg g	1.0	1
pelkici	Pelkici	0		H	sg g	0.0	0
diplomeeritud	diplomeeritud	0		A		1.0	1
diplomeeritud	diplomeeritud	d		A	pl n	0.0	0
diplomeeritud	diplomeerima	tud		V	tud	0.0	0
diplomeeritud	diplomeeritud	0		A	sg n	0.0	0
jäädud	jääma	dud		V	tud	1.0	1
jäädud	jäädud	0		A		0.0	0
jäädud	jäädud	d		A	pl n	0.0	0
jäädud	jäädud	0		A	sg n	0.0	0
embrichi	Embrich	0		H	sg g	1.0	1
embrichi	Embrichi	0		H	sg g	0.0	0
buffoni	Buffon	0		H	sg g	1.0	1
buffoni	Buffoni	0		H	sg g	0.0	0
joogi	jook	0		S	sg g	1.0	1
joogi	joogi	0		S	sg g	0.0	0
kleepunud	kleepunud	0		A		1.0	1
kleepunud	kleepunud	0		A	sg n	0.0	0
kleepunud	kleepuma	nud		V	nud	0.0	0
kleepunud	kleepunud	d		A	pl n	0.0	0
apotheka	Apotheka	0		H	sg g	1.0	1
apotheka	Apothekas	0		H	sg g	0.0	0
kopitanud	kopitanud	0		A		1.0	1
kopitanud	kopitanud	d		A	pl n	0.0	0
kopitanud	kopitama	nud		V	nud	0.0	0
kopitanud	kopitanud	0		A	sg n	0.0	0
kanteril	Kanter	l		H	sg ad	1.0	1
kanteril	Kanteri	l		H	sg ad	0.0	0
pärnaga	Pärn	ga		H	sg kom	1.0	1
pärnaga	Pärna	ga		H	sg kom	0.0	0
hawkingit	Hawking	t		H	sg p	1.0	1
hawkingit	Hawkingi	t		H	sg p	0.0	0
vangistatud	vangistatud	0		A		1.0	1
vangistatud	vangistatud	d		A	pl n	0.0	0
vangistatud	vangistama	tud		V	tud	0.0	0
vangistatud	vangistatu	d		A	pl n	0.0	0
vangistatud	vangistatud	0		A	sg n	0.0	0
taasavatud	taasavatud	0		A		1.0	1
taasavatud	taasavatud	d		A	pl n	0.0	0
taasavatud	taasavatud	0		A	sg n	0.0	0
taasavatud	taasavama	tud		V	tud	0.0	0
kõrvaldatud	kõrvaldatud	0		A		1.0	1
kõrvaldatud	kõrvaldatud	0		A	sg n	0.0	0
kõrvaldatud	kõrvaldama	tud		V	tud	0.0	0
kõrvaldatud	kõrvaldatud	d		A	pl n	0.0	0
piisanud	piisama	nud		V	nud	1.0	1
piisanud	piisanud	0		A	sg n	0.0	0
piisanud	piisanud	d		A	pl n	0.0	0
piisanud	piisanud	0		A		0.0	0
piisanud	piiskama	nud		V	nud	0.0	0
laadinud	laadima	nud		V	nud	1.0	1
laadinud	laadinud	0		A	sg n	0.0	0
laadinud	laadinud	0		A		0.0	0
laadinud	laadinud	d		A	pl n	0.0	0
viitoli	Viitol	0		H	sg g	1.0	1
viitoli	Viitoli	0		H	sg g	0.0	0
luhaersiga	Luhaers	ga		H	sg kom	1.0	1
luhaersiga	Luhaerss	ga		H	sg kom	0.0	0
luhaersiga	Luhaersi	ga		H	sg kom	0.0	0
emigreerunud	emigreerunud	0		A		1.0	1
emigreerunud	emigreeruma	nud		V	nud	0.0	0
emigreerunud	emigreerunud	0		A	sg n	0.0	0
emigreerunud	emigreerunud	d		A	pl n	0.0	0
juurutatud	juurutama	tud		V	tud	1.0	1
juurutatud	juurutatud	d		A	pl n	0.0	0
juurutatud	juurutatud	0		A	sg n	0.0	0
juurutatud	juurutatud	0		A		0.0	0
värvatud	värbama	tud		V	tud	1.0	1
värvatud	värvatud	d		A	pl n	0.0	0
värvatud	värvatud	0		A	sg n	0.0	0
värvatud	värvatud	0		A		0.0	0
elustandardi	elustandard	0		S	sg g	1.0	1
elustandardi	elustandart	0		S	sg g	0.0	0
indekseerinud	indekseerima	nud		V	nud	1.0	1
indekseerinud	indekseerinud	d		A	pl n	0.0	0
indekseerinud	indekseerinud	0		A		0.0	0
indekseerinud	indekseerinud	0		A	sg n	0.0	0
maimikute-salmikute	Maimikute-Salmikute	0		H	sg g	1.0	1
maimikute-salmikute	Maimikute-Salmik	te		H	pl g	0.0	0
voluumeni	voluumen	0		S	sg g	1.0	1
voluumeni	voluumeni	0		S	sg g	0.0	0
säästetud	säästma	tud		V	tud	1.0	1
säästetud	säästetud	0		A	sg n	0.0	0
säästetud	säästetud	0		A		0.0	0
säästetud	säästetud	d		A	pl n	0.0	0
vihatud	vihatud	0		A		1.0	1
vihatud	vihkama	tud		V	tud	0.0	0
vihatud	vihatud	d		A	pl n	0.0	0
vihatud	vihatud	0		A	sg n	0.0	0
kritseldatud	kritseldatud	0		A		1.0	1
kritseldatud	kritseldatud	d		A	pl n	0.0	0
kritseldatud	kritseldama	tud		V	tud	0.0	0
kritseldatud	kritseldatud	0		A	sg n	0.0	0
eksisteerinud	eksisteerima	nud		V	nud	1.0	1
eksisteerinud	eksisteerinud	d		A	pl n	0.0	0
eksisteerinud	eksisteerinud	0		A	sg n	0.0	0
eksisteerinud	eksisteerinud	0		A		0.0	0
projektisummad	projektisumma	d		S	pl n	1.0	1
projektisummad	projektisumm	d		S	pl n	0.0	0
kokkupõrganud	kokkupõrganud	0		A		1.0	1
kokkupõrganud	kokkupõrganud	d		A	pl n	0.0	0
kokkupõrganud	kokkupõrganud	0		A	sg n	0.0	0
pikkuskraadi	pikkuskraad	0		S	sg g	1.0	1
pikkuskraadi	pikkuskraat	0		S	sg g	0.0	0
tegumijärjesti	tegumijärjesti	0		S	sg g	1.0	1
tegumijärjesti	tegumijärjest	0		S	sg g	0.0	0
bhahurti	Bhahurt	0		H	sg g	1.0	1
bhahurti	Bhahurti	0		H	sg g	0.0	0
kivise	Kivine	0		H	sg g	1.0	1
kivise	Kivis	0		H	sg g	0.0	0
lõhestanud	lõhestama	nud		V	nud	1.0	1
lõhestanud	lõhestanud	d		A	pl n	0.0	0
lõhestanud	lõhestanud	0		A	sg n	0.0	0
lõhestanud	lõhestanud	0		A		0.0	0
baraki	Barak	0		H	sg g	1.0	1
baraki	Baraki	0		H	sg g	0.0	0
baraki	Barakk	0		H	sg g	0.0	0
vändatud	väntama	tud		V	tud	1.0	1
vändatud	vändatud	d		A	pl n	0.0	0
vändatud	vändatud	0		A		0.0	0
vändatud	vändatud	0		A	sg n	0.0	0
predatorit	Predator	t		H	sg p	1.0	1
predatorit	Predatori	t		H	sg p	0.0	0
põldsamitele	Põldsam	tele		H	pl all	1.0	1
põldsamitele	Põldsamite	le		H	sg all	0.0	0
läbimõeldud	läbimõeldud	0		A		1.0	1
läbimõeldud	läbimõeldud	d		A	pl n	0.0	0
läbimõeldud	läbimõeldud	0		A	sg n	0.0	0
vaatlustestidega	vaatlustest	dega		S	pl kom	1.0	1
vaatlustestidega	vaatlustesti	dega		S	pl kom	0.0	0
dekoreeritud	dekoreeritud	0		A		1.0	1
dekoreeritud	dekoreeritud	d		A	pl n	0.0	0
dekoreeritud	dekoreerima	tud		V	tud	0.0	0
dekoreeritud	dekoreeritud	0		A	sg n	0.0	0
kaitseme	kaitsma	me		V	me	1.0	1
kaitseme	kaitsema	me		V	me	0.0	0
kose-lükatil	Kose-Lükati	l		H	sg ad	1.0	1
kose-lükatil	Kose-Lükat	l		H	sg ad	0.0	0
pikitud	pikitud	0		A		1.0	1
pikitud	pikitud	d		A	pl n	0.0	0
pikitud	pikkima	tud		V	tud	0.0	0
pikitud	pikitud	0		A	sg n	0.0	0
ahmadi	Ahmad	0		H	sg g	1.0	1
ahmadi	Ahmadi	0		H	sg g	0.0	0
kõnelenud	kõnelema	nud		V	nud	1.0	1
kõnelenud	kõnelenud	0		A	sg n	0.0	0
kõnelenud	kõnelenud	0		A		0.0	0
kõnelenud	kõnelenud	d		A	pl n	0.0	0
lanceloti	Lancelot	0		H	sg g	1.0	1
lanceloti	Lancelott	0		H	sg g	0.0	0
lanceloti	Lanceloti	0		H	sg g	0.0	0
eosinophil-derived	eosinophil-derive	d		S	pl n	1.0	1
eosinophil-derived	eosinophil-derived	0		S	sg n	0.0	0
luuki	Luuk	0		H	sg g	1.0	1
luuki	Luuki	0		H	sg g	0.0	0
nokkinud	nokkima	nud		V	nud	1.0	1
nokkinud	nokkinud	0		A	sg n	0.0	0
nokkinud	nokkinud	0		A		0.0	0
nokkinud	nokkinud	d		A	pl n	0.0	0
loata	luba	ta		S	sg ab	1.0	1
loata	luga	ta		S	sg ab	0.0	0
trollid	troll	d		S	pl n	1.0	1
trollid	trolli	d		S	pl n	0.0	0
mitteharitud	mitteharitud	0		A		1.0	1
mitteharitud	mitteharitud	0		A	sg n	0.0	0
mitteharitud	mitteharitud	d		A	pl n	0.0	0
zopi	Zopp	0		H	sg g	1.0	1
zopi	Zopi	0		H	sg g	0.0	0
zopi	Zop	0		H	sg g	0.0	0
kuulatama	kuulatama	ma		V	ma	1.0	1
kuulatama	kuulama	tama		V	tama	0.0	0
privilegeeritud	privilegeeritud	0		A		1.0	1
privilegeeritud	privilegeeritud	d		A	pl n	0.0	0
privilegeeritud	privilegeerima	tud		V	tud	0.0	0
privilegeeritud	privilegeeritud	0		A	sg n	0.0	0
fikseerinud	fikseerima	nud		V	nud	1.0	1
fikseerinud	fikseerinud	0		A	sg n	0.0	0
fikseerinud	fikseerinud	d		A	pl n	0.0	0
fikseerinud	fikseerinud	0		A		0.0	0
perikardiidiga	perikardiit	ga		S	sg kom	1.0	1
perikardiidiga	perikardiid	ga		S	sg kom	0.0	0
rikbergi	Rikberg	0		H	sg g	1.0	1
rikbergi	Rikbergi	0		H	sg g	0.0	0
määratlenud	määratlema	nud		V	nud	1.0	1
määratlenud	määratlenud	d		A	pl n	0.0	0
määratlenud	määratlenud	0		A		0.0	0
määratlenud	määratlenud	0		A	sg n	0.0	0
infiltreeritud	infiltreeritud	0		A		1.0	1
infiltreeritud	infiltreeritud	0		A	sg n	0.0	0
infiltreeritud	infiltreerima	tud		V	tud	0.0	0
infiltreeritud	infiltreeritud	d		A	pl n	0.0	0
ülalkirjeldatud	ülalkirjeldatud	0		A	sg n	1.0	1
ülalkirjeldatud	ülalkirjeldatud	0		A		0.0	0
ülalkirjeldatud	ülalkirjeldatud	d		A	pl n	0.0	0
khomeini	Khomeini	0		H	sg g	1.0	1
khomeini	Khomein	0		H	sg g	0.0	0
kaarli	Kaarli	0		H	sg g	1.0	1
kaarli	Kaarel	0		H	sg g	0.0	0
raevunud	raevunud	0		A		1.0	1
raevunud	raevunud	0		A	sg n	0.0	0
raevunud	raevuma	nud		V	nud	0.0	0
raevunud	raevunud	d		A	pl n	0.0	0
arpaneti	Arpanet	0		H	sg g	1.0	1
arpaneti	Arpanett	0		H	sg g	0.0	0
arpaneti	Arpaneti	0		H	sg g	0.0	0
modifitseeritud	modifitseeritud	0		A	sg n	1.0	1
modifitseeritud	modifitseeritud	d		A	pl n	0.0	0
modifitseeritud	modifitseeritud	0		A		0.0	0
modifitseeritud	modifitseerima	tud		V	tud	0.0	0
tülitsenud	tülitsema	nud		V	nud	1.0	1
tülitsenud	tülitsenud	0		A		0.0	0
tülitsenud	tülitsenud	d		A	pl n	0.0	0
tülitsenud	tülitsenud	0		A	sg n	0.0	0
alarmeeritud	alarmeeritud	0		A		1.0	1
alarmeeritud	alarmeerima	tud		V	tud	0.0	0
alarmeeritud	alarmeeritud	0		A	sg n	0.0	0
alarmeeritud	alarmeeritud	d		A	pl n	0.0	0
peningi	Peningi	0		H	sg g	1.0	1
peningi	Penink	0		H	sg g	0.0	0
peningi	Pening	0		H	sg g	0.0	0
lõõritama	lõõritama	ma		V	ma	1.0	1
lõõritama	lõõrima	tama		V	tama	0.0	0
kokad	kokk	d		S	pl n	1.0	1
kokad	koka	d		S	pl n	0.0	0
determineeritud	determineerima	tud		V	tud	1.0	1
determineeritud	determineeritud	0		A	sg n	0.0	0
determineeritud	determineeritud	0		A		0.0	0
determineeritud	determineeritud	d		A	pl n	0.0	0
solaari	Solaar	0		H	sg g	1.0	1
solaari	Solaari	0		H	sg g	0.0	0
tagakiusatud	tagakiusatud	0		A		1.0	1
tagakiusatud	tagakiusatud	d		A	pl n	0.0	0
tagakiusatud	tagakiusatud	0		A	sg n	0.0	0
vaatlustestidel	vaatlustest	del		S	pl ad	1.0	1
vaatlustestidel	vaatlustesti	del		S	pl ad	0.0	0
sõnumilehes	Sõnumileht	s		H	sg in	1.0	1
sõnumilehes	Sõnumilehe	s		H	sg in	0.0	0
milleta	mis	ta		P	sg ab	1.0	1
milleta	mis	ta		P	pl ab	0.0	0
ainukesele	ainuke	le		A	sg all	1.0	1
ainukesele	ainukene	le		A	sg all	0.0	0
arjuni	Arjun	0		H	sg g	1.0	1
arjuni	Arjuni	0		H	sg g	0.0	0
oscarite	Oscar	te		H	pl g	1.0	1
oscarite	Oscarite	0		H	sg g	0.0	0
lahutatud	lahutama	tud		V	tud	1.0	1
lahutatud	lahutatud	d		A	pl n	0.0	0
lahutatud	lahutatud	0		A		0.0	0
lahutatud	lahutatud	0		A	sg n	0.0	0
baltreili	Baltreil	0		H	sg g	1.0	1
baltreili	Baltreili	0		H	sg g	0.0	0
dingamani	Dingaman	0		H	sg g	1.0	1
dingamani	Dingamani	0		H	sg g	0.0	0
maitsevad	maitsema	vad		V	vad	1.0	1
maitsevad	maitsma	vad		V	vad	0.0	0
rullunud	rullunud	0		A		1.0	1
rullunud	rulluma	nud		V	nud	0.0	0
rullunud	rullunud	d		A	pl n	0.0	0
rullunud	rullunud	0		A	sg n	0.0	0
mkuzi	Mkuzi	0		H	sg g	1.0	1
mkuzi	Mkuz	0		H	sg g	0.0	0
communicated	communicated	0		S	sg n	1.0	1
communicated	communicate	d		S	pl n	0.0	0
pritzkeri	Pritzker	0		H	sg g	1.0	1
pritzkeri	Pritzkeri	0		H	sg g	0.0	0
